;id_professor;nome;anoconclusao;tipo;departamento
11677;e607573f-977e-46d6-b59c-36dae83683f2;SEXO E TERRITORIO: PROSTITUICAO TRAVESTI E A INSTITUICAO DO SUJEITO TRANSGENERO EM PONTA GROSSA - PR;2006;COMPLETO;Departamento de Geociências
11678;e607573f-977e-46d6-b59c-36dae83683f2;POTENCIALIDADE DO USO DE REJEITO DE OLEOS VEGETAIS PARA A PRODUCAO DE BIODIESEL EM PONTA GROSSA - PR;2006;COMPLETO;Departamento de Geociências
11679;35b30c42-8af1-486a-a696-696f7ad0b72d,e607573f-977e-46d6-b59c-36dae83683f2;ESPACO GEOGRAFICO, GENERO E PARTICIPACAO POLITICA;2006;COMPLETO;Departamento de Geociências
11680;87376d6e-e57a-490f-915b-fdd7aefbceb8;CARACTERIZACAO ELETROQUIMICA DO GASODUTO SAE 1015 EM MEIO ACIDO SULFURICO E COM APLICACAO DO PLANEJAMENTO FATORIAL;2003;COMPLETO;Departamento de Matemática e Estatística
11681;e607573f-977e-46d6-b59c-36dae83683f2;TERRITORIO E PROSTITUICAO TRAVESTI EM PONTA GROSSA ? PR;2007;COMPLETO;Departamento de Geociências
11682;e607573f-977e-46d6-b59c-36dae83683f2;AS RELACOES DE GENERO E A CO-RELACAO ENTRE A VIOLENCIA INFANTO-JUVENIL E O ESPACO ESCOLAR EM PONTA GROSSA -PR;2007;COMPLETO;Departamento de Geociências
11683;87376d6e-e57a-490f-915b-fdd7aefbceb8;CARACTERIZACAO ELECTROQUIMICA DO GASODUTO SAE 1015 EM MEIO DE ACIDO NITRICO;2003;COMPLETO;Departamento de Matemática e Estatística
11684;e607573f-977e-46d6-b59c-36dae83683f2;CONSTRUINDO A PLURIVERSALIDADE EPISTEMICA DA GEOGRAFIA: UMA CONTRIBUICAO DA GEOGRAFIA FEMINISTA;2007;COMPLETO;Departamento de Geociências
11685;e607573f-977e-46d6-b59c-36dae83683f2;POTENCIALIDADE DA PRODUCAO DE BIODIESEL EM PONTA GROSSA A PARTIR DA RECICLAGEM DE REJEITO DE OLEOS VEGETAIS;2007;RESUMO;Departamento de Geociências
11686;e607573f-977e-46d6-b59c-36dae83683f2;SANEAMENTO AMBIENTAL NA BACIA DE OLARIAS PONTA GROSSA - PR;2007;RESUMO_EXPANDIDO;Departamento de Geociências
11687;e607573f-977e-46d6-b59c-36dae83683f2;ESPACO ESCOLAR E VIOLENCIA NO COTIDIANO VIVIDO POR CRIANCAS E ADOLESCENTES EM PONTA GROSSA - PR ENTRE 2005 - 2007;2007;COMPLETO;Departamento de Geociências
11688;e607573f-977e-46d6-b59c-36dae83683f2;A CIDADE DOS CORPOS TRANSGRESSORES DA HETERONORMATIVIDADE;2008;COMPLETO;Departamento de Geociências
11689;35b30c42-8af1-486a-a696-696f7ad0b72d,e607573f-977e-46d6-b59c-36dae83683f2;ESPACO E EXPLORACAO SEXUAL COMERCIAL INFANTO-JUVENIL FEMININA;2008;COMPLETO;Departamento de Geociências
