;id_professor;nome;anopubli;tipo;departamento
4390;95cd696e-296d-4874-bbd0-ff59f00f798e;A REGIAO DO CONTESTADO CATARINENSE: ASPECTOS HISTORICO-GEOGRAFICOS;2012;NACIONAL;Departamento de Geociências
4391;95cd696e-296d-4874-bbd0-ff59f00f798e;A EDUCACAO AMBIENTAL NOS LIVROS DIDATICOS DE GEOGRAFIA DO;2012;NACIONAL;Departamento de Geociências
4392;95cd696e-296d-4874-bbd0-ff59f00f798e;SITUACAO FUNDIARIA DO PARQUE NACIONAL DOS CAMPOS GERAIS, PR.;2013;NACIONAL;Departamento de Geociências
4393;95cd696e-296d-4874-bbd0-ff59f00f798e;EDUCACAO AMBIENTAL: POSSIBILIDADES E DESAFIOS NO PROCESSO ENSINO-APRENDIZAGEM DA GEOGRAFIA ESCOLAR;2013;NACIONAL;Departamento de Geociências
4394;95cd696e-296d-4874-bbd0-ff59f00f798e;A EDUCACAO AMBIENTAL NA EDUCACAO TECNOLOGICA DE NIVEL SUPERIOR: ELEMENTOS PARA UM DEBATE;2014;NACIONAL;Departamento de Geociências
4395;95cd696e-296d-4874-bbd0-ff59f00f798e;A EFETIVIDADE DAS POLITICAS AMBIENTAIS PARA A CONSERVACAO DA NATUREZA NOS PARQUES ESTADUAIS DOS CAMPOS GERAIS DO PARANA;2014;NACIONAL;Departamento de Geociências
4396;95cd696e-296d-4874-bbd0-ff59f00f798e;O RELEVO TERRESTRE NOS LIVROS DIDATICOS DE GEOGRAFIA DO 6O ANO DO ENSINO FUNDAMENTAL;2014;NACIONAL;Departamento de Geociências
4397;95cd696e-296d-4874-bbd0-ff59f00f798e;ESTUDO COMPARATIVO DAS POLITICAS AMBIENTAIS APLICADAS AO PARQUE NACIONAL DOS CAMPOS GERAIS E AO PARQUE ESTADUAL DO CAXAMBU, PR.;2015;NACIONAL;Departamento de Geociências
4398;95cd696e-296d-4874-bbd0-ff59f00f798e;O USO DE GEOTECNOLOGIAS EM PRATICAS DE CAMPO NO ENSINO SUPERIOR;2015;NACIONAL;Departamento de Geociências
4399;95cd696e-296d-4874-bbd0-ff59f00f798e;GEOTURISMO NA REGIAO DO PARQUE ESTADUAL DO VALE DO CODO, PARANA: POTENCIALIDADES E LIMITACOES;2015;NACIONAL;Departamento de Geociências
4400;95cd696e-296d-4874-bbd0-ff59f00f798e;AS SUPERFICIES DE EROSAO NO MEDIO CURSO DA BACIA DO RIO PITANGUI, ESTADO DO PARANA;2014;NACIONAL;Departamento de Geociências
4401;95cd696e-296d-4874-bbd0-ff59f00f798e;EFICACIA DE GESTAO DA RESERVA BIOLOGICA DAS ARAUCARIAS, PARANA;2015;NACIONAL;Departamento de Geociências
