;id_professor;nome;ano;departamento
955;54b6291b-845b-4732-b6e2-9bd4fb6a84ba;DESENVOLVIMENTO DE MEMBRANAS DE AMIDO E NANOCELULOSE CONTENDO SULFADIAZINA DE PRATA POR EXTRUSAO E TERMOCOMPRESSAO;2019;Departamento de Ciências Farmacêuticas
956;54b6291b-845b-4732-b6e2-9bd4fb6a84ba;DESENVOLVIMENTO DE MEMBRANAS DE NANOCELULOSE FIBRILADA E QUITOSANA CONTENDO SULSULFADIAZINA DE PRATA PELO METODO DE CASTING;2019;Departamento de Ciências Farmacêuticas
957;54b6291b-845b-4732-b6e2-9bd4fb6a84ba;DESENVOLVIMENTO E CARACTERIZACAO DE MICROPARTICULAS DE QUITOSANA CONTENDO DESOXICOLATO DE SODIO;2020;Departamento de Ciências Farmacêuticas
958;54b6291b-845b-4732-b6e2-9bd4fb6a84ba;CURATIVOS POROSOS A BASE DE CELULOSE MICROFIBRILADA E QUITOSANA PARA LIBERACAO CONTROLADA DE SULFADIAZINA DE PRATA;2020;Departamento de Ciências Farmacêuticas
959;54b6291b-845b-4732-b6e2-9bd4fb6a84ba;AVALIACAO DE MEMBRANAS DE NANOCELULOSE FIBRILADA E QUITOSANA CONTENDO SULFADIAZINA DE PRATA PARA USO COMO CURATIVO;2020;Departamento de Ciências Farmacêuticas
960;54b6291b-845b-4732-b6e2-9bd4fb6a84ba;MICROPARTICULAS CONTENDO OLEO ESSENCIAL DE CAPIM LIMAO (Cymbopogom citratus) PRODUZIDAS POR EMULSIFICACAO/LIOFILIZACAO;2021;Departamento de Ciências Farmacêuticas
961;c85e6981-8753-4e88-ae7d-305cffcc52e4;Uso do Diamino Fluoreto de Prata no Brasil;2021;Departamento de Odontologia
962;54b6291b-845b-4732-b6e2-9bd4fb6a84ba;GEL MUCOADESIVO BUCAL INCORPORADO COM COMPLEXOS DE INCLUSAO DE CLOREXIDINA/b-CICLODEXTRINA;2021;Departamento de Ciências Farmacêuticas
963;54b6291b-845b-4732-b6e2-9bd4fb6a84ba;GEL MUCOADESIVO BUCAL INCORPORADO COM COMPLEXOS DE INCLUSAO DE NISTATINA/b-CICLODEXTRINA;2021;Departamento de Ciências Farmacêuticas
964;54b6291b-845b-4732-b6e2-9bd4fb6a84ba;CARACTERIZACAO FISICO-QUIMICA DE MICROPARTICULAS DE QUITOSANA PARA PROMOVER A PERMEACAO CUTANEA DE DESOXICOLATO DE SODIO;2021;Departamento de Ciências Farmacêuticas
