;id_professor;nome;anopubli;valor;departamento
50;5d4a2131-789b-4444-ad1c-48a37e6cd17d;Microtomografia na caracterizacao do sistema poroso de solos sob integracao lavoura pecuaria;2022;0.1;Departamento de Física
51;5d4a2131-789b-4444-ad1c-48a37e6cd17d;USO DA MICROTOMOGRAFIA DE RAIOS X NO ESTUDO DE MUDANCAS NA MICROESTRUTURA DO SOLO;2020;0.1;Departamento de Física
52;f80b03ed-dccf-4d95-b41e-b5b3a4a42655;Producao e caracterizacao de filmes biodegradaveis utilizando amido de semente de abacate e bagaco de mandioca;2017;23200.0;Departamento de Engenharia de Alimentos
53;f80b03ed-dccf-4d95-b41e-b5b3a4a42655;Utilizacao de Heat-moisture Treatment em amidos de diferentes fontes botanicas: uma investigacao visando a modificacao da digestibilidade;2019;0.01;Departamento de Engenharia de Alimentos
54;f80b03ed-dccf-4d95-b41e-b5b3a4a42655;Modificacao de amidos atraves de dry heat treatment: investigacao das propriedades estruturais, termicas e digestibilidade in vitro;2022;0.01;Departamento de Engenharia de Alimentos
55;f6501f0e-45dc-45c7-80c3-9ad91c6576ae;Astronomia e Astrobiologia: Os desafios da exploracao humana;2023;172040.0;Departamento de Geociências
56;e22d7344-aeb2-403c-9cf2-9b9119e39384;Fragilizacao por hidrogenio de acos inoxidaveis;2018;1199947.9;Departamento de Engenharia de Materiais
57;e971602b-e274-47ac-a1e0-e3650827797f;Estudo do potencial antioxidante do oleo da semente de araca (Psidium cattleianum);2016;28000.0;Departamento de Engenharia de Alimentos
58;8de913a0-d0f2-4444-b242-0216fbe8ddd1;Biofungicidas e biometais como inducao de resistencia no manejo das doencas foliares da soja causadas por patogenos biotroficos;2017;24995.58;Departamento de Fitotecnia e Fitossanidade/DEFITO
59;bf475de6-e67c-40df-b2d5-55a3e0170353;Agricultura irrigada na Amazonia Oriental: manejo e conservacao dos recursos ambientais do solo e da agua;2013;1.0;Departamento de Ciências do Solo e Engenharia Agrícola
60;64fcb2e3-bae6-4577-9e47-39f6ccd8df7d;Avaliacao Preliminar de Hidrogenacao de Ferros Fundidos;2022;40000.0;Departamento de Engenharia de Materiais
61;64fcb2e3-bae6-4577-9e47-39f6ccd8df7d;DESCAAL - Demonstrador de Estampagem de Superficies Classe A em Aluminio;2022;15000.0;Departamento de Engenharia de Materiais
62;50833fdd-8dcc-448c-b454-376b301da0e7;Potencializando os efeitos do Azospirillum na agricultura, da ecologia a inovacao;2023;39600.0;Departamento de Química
63;3d6ea327-a206-469a-a74c-737b4e62fc06;Bioprospeccao de bacterias promotoras do crescimento vegetal e avaliacao do efeito de adubacao nitrogenada e do uso de biofertilizantes no ciclo do nitrogenio do solo;2017;25000.0;Departamento de Fitotecnia e Fitossanidade/DEFITO
64;3d6ea327-a206-469a-a74c-737b4e62fc06;Estudo da diversidade genetica e funcional bacteriana da rizosfera do milho e bioprospeccao de novos biofertilizantes;2017;42000.0;Departamento de Fitotecnia e Fitossanidade/DEFITO
65;3d6ea327-a206-469a-a74c-737b4e62fc06;Estudo ecologico de longa duracao de fragmentos de varzea e de floresta aluvial submetidos a derramamento de petroleo e pressao de uso no municipio de Araucaria, Parana;2017;0.05;Departamento de Fitotecnia e Fitossanidade/DEFITO
66;3d6ea327-a206-469a-a74c-737b4e62fc06;Identificacao e analise de genes diferencialmente expressos durante o amadurecimento dos frutos de melao climaterio e nao climaterio;2014;98900.0;Departamento de Fitotecnia e Fitossanidade/DEFITO
67;a5795099-8061-42e1-937f-fce31fbdbd47;Caracterizacao da biodiversidade em especies do genero Omophoita Chevrolat, 1837(Coleoptera,Chrysomelidae):Utilizando marcadores citogenaticos e moleculares;2015;59880.0;Departamento de Fitotecnia e Fitossanidade/DEFITO
68;a5795099-8061-42e1-937f-fce31fbdbd47;Tolerancia ao aluminio em milho tropical: controle genetico, mapeamento e expressao diferencial de genes;2016;39600.0;Departamento de Fitotecnia e Fitossanidade/DEFITO
69;a5795099-8061-42e1-937f-fce31fbdbd47;Identificacao de novas fontes do alelo superior do gene ZmMATE1 e prospeccao de genes com potencial para aumento da tolerancia ao aluminio em germoplasma de milho tropical;2022;20000.0;Departamento de Fitotecnia e Fitossanidade/DEFITO
70;4456ee89-47bb-465a-b5cf-99bc0adb7289;Desenvolvimento de ferramenta computacional para auxilio na mensuracao de atributos da dinamica de raizes;2014;23907.0;Departamento de Informática
71;bedf1975-a11d-4e86-b56d-08dacbe4c3d2;Tratamento descentralizado de aguas rediduarias envolvendo wetlands construidas e sistemas de filtracao rapida para fins de reuso;2022;131164.0;Departamento de Química
72;b34650c7-d7d2-4033-82c0-3c9ffededbf4;Desenvolvimento e caracterizacao de superficies nanoestruturadas hidrofobicas em isoladores eletricos;2016;0.01;Departamento de Engenharia de Materiais
73;b34650c7-d7d2-4033-82c0-3c9ffededbf4;Investigacao das Propriedades eletricas da alfa hematita  dopada;2023;0.1;Departamento de Engenharia de Materiais
74;6b98e909-b3b7-4caf-bf7e-f6fc1b1d5d83;Efeito da interacao genotipo x ambiente via correlacoes geneticas em bovinos da raca Holandesa no estado do Parana;2017;11590.0;Departamento de Zootecnia
75;ebfffe76-b18c-48d3-ad0e-61cf3744a8e6;Digestibilidade, desempenho produtivo, retencao de minerais, parametros sanguineos e expressao do gene da enzima fosfatase alcalina em tilapias do Nilo alimentadas com dietas suplementadas com nova geracao de fitase liquida;2019;60000.0;Departamento de Zootecnia
76;ebfffe76-b18c-48d3-ad0e-61cf3744a8e6;Desempenho produtivo, parametros bioquimicos, atividade de enzimas digestivas, digestibilidade, histologia e microbioma intestinal de Tilapias do Nilo alimentadas com dieta a base de farelo de soja, graos secos de destilaria com soluveis de milho e d;2020;0.01;Departamento de Zootecnia
77;ebfffe76-b18c-48d3-ad0e-61cf3744a8e6;AminoGut(r) como fonte de glutaminaeglutamato em dietas para alevinos e juvenis de tilapias do Nilo;2023;117880.0;Departamento de Zootecnia
78;ae169881-a124-4c8b-93ce-0c2418e26b42;Expressao de genes relacionados com o crescimento muscular e metabolismo de aminoacidos sulfurados, qualidade da carne e desempenho produtivo de tilapias do Nilo na terminacao alimentadas com dietas suplementadas com metionina e taurina;2017;12500.0;Departamento de Zootecnia
